Unit Type Key;          Name;               Symbol;     Key;                           Description;                             Conversion Type; Conversion Args
power-density;          mW/m³;              mW/m³;      milli-watt-per-cubic-m;        Milliwatt per Cubic Meters;              LINEAR;          [.001]
power-density;          W/m³;               W/m³;       watt-per-cubic-m;              Watt per Cubic Meters;                   NOOP;            []
power-density;          kW/m³;              kW/m³;      kilo-watt-per-cubic-m;         Kilowatt per Cubic Meters;               LINEAR;          [1000.0]
power-density;          W/L;                W/L;        watt-per-liter;                Watt per Liter;                          LINEAR;          [1000.0]
c-rate;                 C-Rate;             C;          c-rate;                        Amperes per Ampere-Hours;                NOOP;            []
speed;                  m/s;                m/s;        meter-per-second;              Meters per Second;                       NOOP;            []
speed;                  cm/s;               cm/s;       centimeter-per-second;         Centimeters per Second;                  LINEAR;          [0.01]
speed;                  mm/s;               mm/s;       millimeter-per-second;         Millimeters per Second;                  LINEAR;          [0.001]
speed;                  mph;                mph;        mile-per-hour;                 Miles per Hour;                          LINEAR;          [0.44704]
speed;                  km/h;               km/h;       kilometer-per-hour;            Kilometers per Hour;                     LINEAR;          [0.277778]
speed;                  m/min;              m/min;      meter-per-minute;              Meters per Minute;                       LINEAR;          [0.016666666666666667]
speed;                  cm/min;             cm/min;     centimeter-per-minute;         Centimeters per Minute;                  LINEAR;          [0.00016666666666666667]
speed;                  mm/min;             mm/min;     millimeter-per-minute;         Millimeters per Minute;                  LINEAR;          [0.000016666666666666667]
speed;                  ft/s;               ft/s;       feet-per-second;               Feet per Second;                         LINEAR;          [0.3048]
speed;                  knot;               knot;       knot;                          Knots;                                   LINEAR;          [0.514444]
resistivity;            Ohm-m;              Ωm;         ohm-meter;                     Ohm-Meters;                              NOOP;            []
resistivity;            Ohm-cm;             Ωcm;        ohm-centimeter;                Ohm-Centimeters;                         LINEAR;          [0.01]
conductivity;           S/m;                S/m;        siemen-per-meter;              Siemens per Meter;                       NOOP;            []
conductivity;           S/cm;               S/cm;       siemen-per-centimeter;         Siemens per Centimeter;                  LINEAR;          [100.0]
conductance;            Siemen;             S;          siemen;                        Siemens;                                 NOOP;            []
conductance;            Millisiemen;        mS;         millisiemen;                   Millisiemens;                            LINEAR;          [0.001]
conductance;            Microsiemen;        µS;         microsiemen;                   Microsiemens;                            LINEAR;          [0.000001]
specific-heat-capacity; J/kgK;              J/kgK;      joule-per-kilogram-kelvin;     Joules per Kilogram-Kelvin;              NOOP;            []
specific-heat-capacity; J/gK;               J/gK;       joule-per-gram-kelvin;         Joules per Gram-Kelvin;                  LINEAR;          [1000.0]
specific-heat-capacity; BTU/lb°F;           BTU/lb°F;   btu-per-pound-fahrenheit;      BTUs per Pound-Degrees Fahrenheit;       LINEAR;          [4184.0]
specific-heat-capacity; cal/g°C;            cal/g°C;    calorie-per-gram-celsius;      Calories per Gram-Degrees Celsius;       LINEAR;          [4184.0]
molar-heat-capacity;    J/molK;             J/molK;     joule-per-mol-kelvin;          Joules per Mole-Kelvin;                  NOOP;            []
molar-heat-capacity;    kJ/molK;            kJ/molK;    kilojoule-per-mol-kelvin;      Kilojoules per Mole-Kelvin;              LINEAR;          [1000.0]
molar-heat-capacity;    cal/mol°C;          cal/mol°C;  calorie-per-mol-celsius;       Calories per Mole-Degrees Celsius;       LINEAR;          [4.184]
molar-heat-capacity;    kcal/mol°C;         kcal/mol°C; kilocalorie-per-mol-celsius;   Kilocalories per Mole-Degrees Celsius;   LINEAR;          [4184.0]
amount-of-substance;    Mole;               mol;        mole;                          Moles;                                   NOOP;            []
amount-of-substance;    Kilomole;           kmol;       kilomole;                      Kilomoles;                               LINEAR;          [1000.0]
amount-of-substance;    Millimole;          mmol;       millimole;                     Millimoles;                              LINEAR;          [0.001]
